Bullishness,Bullishness_N,Closing Price,Daily Return,Log_Return,Z_Bullish,Z_Bullish_N,Z_Closing,Z_ITD_Return,Z_ITD_Log_Return
0.600773834,-1.615868777,2844,,,-0.222905372,-1.897660942,0.992722456,,
0.875468621,-1.252762909,2707,-0.048171589,-0.049370501,0.10292367,-1.526653692,0.417941421,-0.956877212,-0.97975293
1.22377529,-0.693147151,2829,0.045068341,0.044082282,0.516067398,-0.954860388,0.929790226,0.744765199,0.773907277
1.27377529,-0.693147151,2817,-0.004241782,-0.004250803,0.575374865,-0.954860388,0.879444442,-0.155151777,-0.133072754
0.287682045,-1.504077332,2898,0.028753994,0.028348355,-0.594278992,-1.783436854,1.219278484,0.44702596,0.478656989
1.704747888,0,2938,0.013802622,0.013708234,1.086572729,-0.246629975,1.387097765,0.174161244,0.203932181
0.564529788,-0.966014155,2695,-0.082709326,-0.086330873,-0.265896223,-1.233665128,0.367595636,-1.587195974,-1.673321721
-0.182321523,-1.098612155,2711,0.00593692,0.005919366,-1.151773417,-1.369148533,0.434723349,0.030611024,0.057772517
1.163150672,-0.060624618,2654,-0.021025452,-0.021249635,0.444157547,-0.308573818,0.195580874,-0.461456222,-0.452059229
-0.087011369,-0.934309182,2559,-0.035795026,-0.036451379,-1.03872134,-1.201270237,-0.202989917,-0.731003123,-0.737323005
2.014902587,0.628608601,2633,0.028917546,0.028507323,1.454462523,0.395657494,0.107475752,0.450010813,0.481640061
0.99852874,0.459532299,2751,0.044815799,0.043840601,0.24889135,0.222901999,0.602542629,0.740156273,0.769372099
1.011600753,0.606135728,2658,-0.033805889,-0.034390522,0.264396709,0.372695599,0.212362802,-0.69470107,-0.698650608
1.178654823,0.773189798,2713,0.02069225,0.020481073,0.462547786,0.543384858,0.443114313,0.299897953,0.331025872
0.496436858,0.139761936,2519,-0.071507556,-0.074193036,-0.346664607,-0.103826743,-0.370809197,-1.382762031,-1.445552775
1.098611622,1.098611622,2557,0.015085351,0.014972699,0.367604595,0.875888038,-0.211380881,0.197571233,0.227660121
1.704747683,1.299282742,2546,-0.004301916,-0.004311196,1.086572487,1.080925872,-0.257531183,-0.156249245,-0.134206036
-0.693147056,-0.916290582,2474,-0.028279654,-0.028687226,-1.757688787,-1.182859542,-0.559605888,-0.593846482,-0.591627125
0.287681989,0.287681989,2497,0.009296686,0.009253737,-0.594279058,0.047312132,-0.463109801,0.091927233,0.12034266
2.944438032,1.84582641,2559,0.024829796,0.024526546,2.557030382,1.63936263,-0.202989917,0.375408773,0.406939974
1.704747683,1.704747683,2576,0.00664322,0.006621251,1.086572487,1.495213953,-0.131666723,0.043501098,0.070943528
2.014902587,2.014902587,2600,0.00931677,0.009273637,1.454462523,1.812117998,-0.030975154,0.092293781,0.120716078
1.252762611,0.84729767,2604,0.001538462,0.001537279,0.55045069,0.619105357,-0.014193226,-0.049661493,-0.024458221
-0.693146931,-0.916290432,2502,-0.039170507,-0.039958312,-1.757688639,-1.182859389,-0.442132391,-0.792606138,-0.803131316
0.405464941,0,2522,0.007993605,0.007961825,-0.454570886,-0.246629975,-0.358222751,0.068145825,0.096099676
1.098611955,1.098611955,2497,-0.009912768,-0.009962226,0.36760499,0.875888379,-0.463109801,-0.258648105,-0.240248748
0.200670675,0.200670675,2351,-0.058470164,-0.060249242,-0.697487471,-0.041592596,-1.075650175,-1.144827715,-1.183894675
-0.251314397,-0.356674901,2109,-0.102934921,-0.108626868,-1.233609268,-0.611066317,-2.090956821,-1.956316054,-2.091710531
-0.470003554,-0.587786576,2005,-0.04931247,-0.050569841,-1.493007269,-0.847207109,-2.52728695,-0.977698459,-1.002258775
2.442346579,2.442346579,1953,-0.025935162,-0.026277409,1.961474934,2.248863405,-2.745452014,-0.551059154,-0.546406421
0.773189798,0.773189798,2184,0.11827957,0.111791406,-0.018394288,0.543384858,-1.77629567,2.080880859,2.044482568
0.405465053,0.117783022,2275,0.041666667,0.040821995,-0.454570755,-0.12628393,-1.394506807,0.682684137,0.712727335
0.182321523,0.182321523,2308,0.014505495,0.014401296,-0.719252306,-0.060341035,-1.256055901,0.186988761,0.216937635
0.762139976,0.762139976,2670,0.156845754,0.145697124,-0.031501028,0.532094585,0.262708586,2.784719374,2.680730159
1.252762611,0.84729767,2717,0.017602996,0.017449858,0.55045069,0.619105357,0.459896241,0.243518622,0.274144508
-0.133531375,-0.356674901,2827,0.04048583,0.039687748,-1.093901014,-0.611066317,0.921399262,0.661133694,0.691442977
0.788457251,-1.11022E-16,2768,-0.02087018,-0.021091041,-0.000284809,-0.246629975,0.673865823,-0.458622495,-0.449083187
0.223143501,0,2754,-0.005057803,-0.005070637,-0.670831343,-0.246629975,0.615129075,-0.170044296,-0.148457104
-0.887303111,-0.887303111,2561,-0.070079884,-0.072656593,-1.987986865,-1.153241288,-0.194598953,-1.3567068,-1.41672111
-0.18232154,-0.18232154,2547,-0.005466615,-0.005481611,-1.151773437,-0.432918932,-0.253335701,-0.17750516,-0.156169109
1.098612122,1.098612122,2702,0.060855909,0.059076044,0.367605188,0.875888549,0.396964011,1.032890623,1.055268224
0.336472179,0.154150656,2722,0.007401925,0.007374665,-0.536406606,-0.089124916,0.480873651,0.057347567,0.085081486
1.386293986,0.693147056,2671,-0.018736223,-0.01891397,0.708838843,0.461600341,0.266904068,-0.419677466,-0.408230016
1.252762611,0.84729767,2727,0.02096593,0.02074917,0.55045069,0.619105357,0.501851061,0.304892663,0.336056754
0.955511322,0.773189798,2863,0.049871654,0.048667922,0.197866268,0.543384858,1.072436614,0.832426357,0.859957742
0.485507768,0.367724746,2732,-0.0457562,-0.046836084,-0.35962814,0.129096663,0.522828471,-0.912795999,-0.932194089
2.197223688,2.302584193,3241,0.186310395,0.170847982,1.670722578,2.106059713,2.658328813,3.322453402,3.152691064
